Entidad Financiera,ACCIDENTES PERSONALES,ACCIONES,AUTOMOVILES,C.D.A.T,C.D.T.,CESANTIAS,COLECTIVO VIDA,CONTRATO DE COMISION,CONTRATO DE CORRESPONSALIA,CREDITO DE CONSUMO Y/O COMERCIAL,CREDITO DE VIVIENDA,CUENTA CORRIENTE,CUENTA DE AHORRO,EDUCATIVO,FIDUCIA DE ADMINISTRACION,FIDUCIA DE ADMINISTRACION INMOBILIARIA DE PROYECTOS DE CONSTRUCCION,FIDUCIA DE GARANTIA,FIDUCIA DE INVERSION,FONDOS DE VALORES Y/O INVERSION,GIROS - ESTABLECIMIENTOS DE CREDITO,HOGAR,INCENDIO,INTERMEDIACION DE MERCADO CAMBIARIO (GIROS - COMPRAVENTA DE DIVISAS),LEASING (SOLO ESTABLECIMIENTOS BANCARIOS Y COMPA?IAS DE FINANCIAMIENTO COMERCIAL),LEASING HABITACIONAL (SOLO ESTABLECIMIENTOS BANCARIOS Y COMPA?IAS DE FINANCIAMIENTO COMERCIAL),MICROCREDITOS,NO COMPETENCIA,OTROS NEGOCIOS FIDUCIARIAS,OTROS SEGUROS,PENSION DE INVALIDEZ,PENSION DE SOBREVIVENCIA,PENSION DE VEJEZ,PREVISIONAL DE INVALIDEZ Y SOBREVIVENCIA,QUEJA / RECLAMO,RESPONSABILIDAD CIVIL,RIESGOS PROFESIONALES (SEGUROS),SALUD,SEGURO DE VIDA INDIVIDUAL,SEGURO EXEQUIAL,SEGURO VIDA GRUPO,SERVICIOS DE CORRESPONSALES NO BANCARIOS (CNB),SIN TIPIFICAR,SOAT,SUSTRACCION,TARJETA DE CREDITO,TERREMOTO,TITULARIZACION FIDUCIARIA,TITULOS DE CAPITALIZACION,Total Quejas Banco
BANCO COLPATRIA,0,0,0,35,40,0,2,0,0,1279,154,41,837,0,0,0,0,0,0,22,0,0,2,13,50,1,0,0,3,0,0,0,0,0,2,0,0,3,0,26,0,168,0,0,3123,0,0,0,5801
BANCO COLPATRIA SCOTIABANK,0,0,2,15,15,0,1,0,0,875,84,38,657,0,0,2,0,0,0,29,0,2,9,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,0,88,0,0,2019,0,0,1,3885
AV VILLAS,5,0,0,59,94,0,0,0,0,3743,610,377,3196,0,0,0,0,0,0,25,0,7,0,0,3,0,2,0,36,0,2,0,0,0,0,2,0,14,0,45,20,902,0,0,3499,0,0,0,12641
BANAGRARIO,6,0,0,0,71,0,0,0,0,1364,104,133,1647,0,0,0,0,0,0,9,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,41,0,313,0,0,339,0,0,0,4035
BANCAM?A S.A.,0,0,0,0,16,0,0,0,0,1074,0,0,72,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,1,28,0,104,0,0,13,0,0,0,1329
BANCO ANDINO COLOMBIA S.A.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
BANCO CAJA SOCIAL,0,0,0,12,84,0,0,0,0,1901,648,80,1819,0,0,0,0,0,5,20,0,0,0,0,12,10,0,2,11,0,0,0,0,0,0,0,0,1,0,58,0,437,0,0,730,0,0,0,5830
BANCO COLMENA S.A. PERO PODR? UTILIZAR SIMPLEMENTE LOS NOMBRES COLMENA BANCO C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
BANCO COLPATRIA S.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,13
BANCO DAVIVIENDA,0,0,0,203,142,0,0,0,1,4690,1199,282,5828,0,4,2,0,8,0,96,8,0,5,117,340,0,0,0,53,0,0,0,0,0,0,0,0,2,0,50,8,1204,0,0,3936,0,3,0,18181
BANCO DE BOGOTA,0,0,6,111,207,0,0,0,0,9402,829,554,7703,0,0,0,5,0,0,41,0,3,0,44,86,0,0,0,71,0,0,2,0,0,0,0,2,21,0,141,4,2273,0,7,8898,3,0,0,30413
BANCO DE OCCIDENTE,0,0,6,123,26,0,0,0,0,3915,94,124,1147,0,0,0,0,0,0,4,0,0,5,93,93,0,0,0,26,0,0,0,0,0,0,0,0,0,0,29,9,693,0,0,3001,0,0,0,9388
BANCO FALABELLA S.A.,0,0,26,7,78,0,0,0,0,1938,8,21,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,3,0,2,4,1,44,0,703,10,4,7151,0,0,0,10712
BANCO GNB SUDAMERIS,0,0,0,0,16,0,0,0,0,1473,8,15,329,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,10,0,212,0,0,136,0,0,0,2212
BANCO MUNDO MUJER S.A.,0,0,0,0,0,0,0,0,0,484,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,49,0,0,5,0,0,0,579
BANCO NACIONAL DEL COMERCIO S.A. PUDIENDO GIRAR TAMBI?N BAJO LA DENOMINACI?N SO,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BANCO PICHINCHA S.A.,0,0,2,42,5,0,0,0,0,5249,20,6,265,2,0,0,0,0,0,5,0,0,0,33,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,65,6,536,0,3,538,0,0,0,6782
BANCO POPULAR,0,0,0,9,60,0,0,0,4,4297,184,69,3108,0,0,0,0,0,0,32,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,0,823,0,0,2704,0,0,0,11341
BANCO SANTANDER,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
BANCO SANTANDER S.A.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
BANCO W S.A.,0,0,0,0,10,0,0,0,0,465,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,76,0,0,5,0,0,0,615
BANCOLOMBIA,0,1,3,246,211,0,0,4,3,7534,1961,752,14169,4,14,0,0,2,3,260,0,0,22,105,132,1,0,0,101,0,0,0,0,0,0,0,0,2,0,68,26,2442,0,9,7899,0,6,0,35980
BANCOMPARTIR S.A.,0,0,0,0,7,0,0,0,0,351,13,6,20,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,46,0,0,8,0,0,0,487
BANCOOMEVA,0,0,0,0,46,0,0,0,0,755,71,6,357,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,132,0,0,464,0,0,0,1840
BBVA COLOMBIA,0,5,2,141,272,7,1,0,2,5623,1314,312,6664,0,0,0,0,6,0,82,2,0,18,67,121,5,0,0,46,0,4,0,0,0,0,0,0,2,0,106,0,1437,0,21,4223,0,0,0,20483
CITIBANK,0,0,0,6,17,0,2,0,0,3011,5,284,2378,0,0,0,0,0,0,37,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,716,0,9,4200,0,0,0,10687
COLPATRIA RED MULTIBANCA,0,0,0,45,88,0,0,0,0,2590,303,112,1646,0,0,0,0,0,0,18,0,0,0,22,107,5,0,0,11,0,0,0,0,0,2,0,0,4,0,20,0,1474,0,0,7210,0,0,2,13659
COOPCENTRAL,0,0,0,0,0,0,0,0,0,19,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,43,0,0,0,79
FINANDINA,0,0,4,104,12,0,0,0,0,2664,0,18,262,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,19,4,285,0,0,358,0,0,0,3817
HELM BANK S.A.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
ITA?,0,0,0,23,29,0,0,0,0,4407,198,275,1876,0,0,0,0,0,0,41,0,0,0,140,149,0,0,7,23,0,0,0,0,0,0,0,0,1,0,57,0,740,0,0,2104,0,0,0,10070
MULTIBANK,0,0,0,0,0,0,0,0,0,91,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,101
PROCREDIT,0,0,0,0,0,0,0,0,0,34,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,55
TODOS LOS BANCOS,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10
Total general,11,6,51,1181,1546,7,6,4,10,69242,7811,3505,54778,6,18,4,5,16,8,728,10,16,65,717,1118,68,4,11,458,1,9,2,4,4,7,2,4,60,6,902,77,15888,10,53,62618,3,9,3,221072
